Idaho Falls,Idaho Falls Gem & Mineral Society,http://ifgemmineral.weebly.com/,Idaho 
Boise,"Idaho Gem Club, Inc.",http://www.idahogemclub.com/,Idaho 
Twin Falls,Magic Valley Gem Club,http://magicvalleygemclub.org/,Idaho 
Coeur d'Alene,North Idaho Mineral Club,http://www.northidahomineralclub.com/,Idaho 
Caldwell,Owyhee Gem & Mineral Society,http://www.owyheerocks.com/,Idaho 
Oldtown,Pend Oreille Rock and Gem Club,https://pendoreillerockandgemclub.wordpress.com/,Idaho 
Boise,Southeast Idaho Gem and Mineral Society,https://www.facebook.com/SEIGMS,Idaho 
Rock Island,Black Hawk Gem & Mineral Club,http://www.blackhawkgemandmineralclub.com/,Illinois 
Decatur,Central Illinois Gem & Mineral Club,http://rmkapta.wixsite.com/cigmc,Illinois 
Skokie,Chicago Rocks & Minerals Society,http://www.chicagorocks.org/,Illinois 
Elgin,Elgin Rock Club,http://elginrockclub.org/,Illinois 
Macomb,"Geodeland Earth Science Clubs, Inc.",http://www.geodeland.com/,Illinois 
Springfield,Lincoln Orbit Earth Science Society,http://www.loess.org/,Illinois 
Chicago,Midwest Historical Research Society,http://www.mhrsusa.com/,Illinois 
Freeport,Northwest Illinois Rock Club,http://nwilrockclubfrpt.blogspot.com/,Illinois 
Peoria,Peoria Academy of Science Geology Section,http://www.pasgeology.com/,Illinois 
Benton,Southern Illinois Earth Science Club,http://www.siesclub.org/,Illinois 
Macomb,West Central Illinois Rock & Mineral Club,http://www.rockchatter.com/,Illinois 
Elmhurst,West Suburban Lapidary Club,http://www.westsuburbanlapidaryclub.com/,Illinois 
Indianapolis,500 Earth Sciences Club,http://www.500earthsciencesclub.org/,Indiana 
Nashville,Brown County Rock and Mineral Club,http://browncountyrock.webs.com/,Indiana 
Crown Point,Calumet Gem & Mineral Society,https://www.facebook.com/calumetrockclub,Indiana 
Evansville,Evansville Lapidary Society,http://evansvillelapidarysociety.tumblr.com/,Indiana 
Richmond,"Eastern Indiana Gem & Geological Society, Inc.",http://eiggs.weebly.com/,Indiana 
Bedford,"Lawrence County Rock Club, Inc",http://www.lawrencecountyrockclub.org/,Indiana 
South Bend,"Michiana Gem & Mineral Society, Inc.",http://www.michianagms.org/,Indiana 
Fort Wayne,Three Rivers Gem & Mineral Society,http://3riversgem_mineral.tripod.com/,Indiana 
Cedar Rapids,Cedar Valley Rocks and Minerals Society,http://www.cedarvalleyrockclub.org/,Iowa 
Des Moines,Des Moines Lapidary Society,http://dmlapidary.org/,Iowa 
Mount Vernon,Geology Club @ Cornell College,http://orgs.cornellcollege.edu/geo_club/,Iowa 
Ames,Iowa State University Geology Club,https://www.facebook.com/ISUGEOCLUB/,Iowa 
Fort Dodge,River Valley Rockhounds,http://amfed.org/mwf/states/Iowa/RiverValley.html,Iowa 
Fairfield,The Sac & Fox Lapidary Club,http://members.iowatelecom.net/billrath/rock_club.html,Iowa 
Kansas City,Olathe Gem and Mineral Society,http://olathegemclub.com/,Kansas 
Topeka,Topeka Gem & Mineral Society,http://www.topekagms.org/,Kansas 
Wichita,Wichita Gem and Mineral Society,http://www.wgmsks.org/,Kansas 
Wichita,Wichita Paleontological Society,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html,Kansas 
Lexington,Blue Grass Gem & Mineral Club of Central Kentucky,http://bggamc.homestead.com/,Kentucky 
Louisville,KYANA Geological Society,http://www.kyanageo.org/,Kentucky 
Lexington,Kentucky Paleontological Society,http://www.uky.edu/OtherOrgs/KPS/,Kentucky 
Shreveport,Ark-La-Tex Gem & Mineral Society,http://larockclub.com/,Louisiana 
Baton Rouge,Baton Rouge Gem & Mineral Society,http://www.brgemandmineral.org/,Louisiana 
Leesville,DeRidder Gem & Mineral Society,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/,Louisiana 
Winthrop,Kennebec Rocks and Minerals Club,http://kennebec-rocksandminerals.com/,Maine 
Portland,Maine Mineralogical & Geological Society,http://mainemineralclub.org/,Maine 
South Paris,Oxford County Mineral and Gem Association,http://ocmgassoc.blogspot.com/,Maine 
Milford,Penobscot Mineral and Lapidary Club,http://penobscotminerallapidaryclub.com/index.html,Maine 
Bowie,American Fossil Federation,http://americanfossilfederation.org/Home.html,Maryland 
Baltimore,Baltimore Mineral Society,http://www.baltimoremineralsociety.org/,Maryland 
Solomons,Calvert Marine Museum Fossil Club,http://www.calvertmarinemuseum.com/209/Fossil-Club,Maryland 
